id;targa;targa_estera;domicilio_digitale;tipo_persona;nome_richiedente;cognome_richiedente;ragione_sociale;codice_fiscale_richiedente;partita_iva;data_inizio;imposta_di_bollo;costo;copia_firmata;copia_firmata_content_type;documento_riconoscimento;documento_riconoscimento_content_type;pagato;protocollo_entrata;protocollo_uscita
1;bifurcated;true;Unbranded Legacy;GIURIDICA;Refined;Baby;methodologies web-readiness Steel;Web Gloves Books;foreground black;2020-11-23;true;6570;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;Facilitator 24/7 content;proactive
2;partnershi;false;metrics Wyoming revolutionary;FISICA;plum;e-tailers static maximized;Legacy e-business Chief;SMS;Maine;2020-11-23;false;61004;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;Central Nebraska Buckinghamshire;hacking invoice
3;Metrics;true;Ameliorated;FISICA;Concrete initiatives;Tools;blue;Global Handcrafted Wooden Cheese;Borders;2020-11-22;false;33774;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;hacking Savings Account;New York Grove
4;Games cros;true;Outdoors;GIURIDICA;Facilitator;Kwacha Bulgarian Lev;object-oriented Home Loan Account;Automated green open-source;mission-critical override Avon;2020-11-23;true;58466;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;generating;applications
5;pricing st;true;migration program;GIURIDICA;Iceland;synergistic;payment Consultant GB;back-end HTTP;Viaduct;2020-11-23;true;64342;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;Fresh Mountains Texas;Licensed
6;West Virgi;false;Colorado 24 hour Consultant;GIURIDICA;Practical Rustic;fault-tolerant revolutionary;Producer Generic panel;virtual;calculate;2020-11-23;true;59213;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;transform Ohio cross-media;Concrete New Jersey
7;Incredible;false;Soft;GIURIDICA;Directives;Borders e-tailers;Bedfordshire withdrawal Response;intranet;eyeballs deposit;2020-11-22;false;46311;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;sticky driver;Italy Managed
8;Borders;true;dynamic Heard Island and McDonald Islands Web;FISICA;synergies Toys Baby;Credit Card Account;sensor Designer metrics;Refined Rubber Shirt extend;Metical;2020-11-23;false;35972;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;Music index;Handmade Wooden Pizza copying
9;Soft solid;true;parse copy;FISICA;hacking SAS hacking;Steel bypass;COM;hacking India;Fantastic Soft Pants Ergonomic Steel Chips Accounts;2020-11-22;true;79169;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;Unbranded digital generate;pink Program maroon
10;Creative N;false;Strategist;GIURIDICA;Assistant Money Market Account;navigate Avon Dam;whiteboard knowledge user transmitter;system system Peru;RSS;2020-11-22;true;6695;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;Fresh;overriding
